Document,Left,Term,Right
0,"su augusto recinto, y la ",casa, de Postas de Espartinas ofrece
0,Nos reímos de todo. La ,casa, está a espalda de la
0,desde el portal de la ,casa, un armonioso son de flauta
0,que había llegado a la ,casa, por la mañana. --Hijos míos
0,dos veces le vi en ,casa,. ¿Creería su merced que fue
0,prohibiéndonos que fuéramos a su ,casa,", mientras no nos encontráramos en"
0,recogerte y ampararte en su ,casa,", donde estarás como una reina"
0,el gusto de ver en ,casa,". Después de oír esto, todos"
0,fuimos los tres a la ,casa,. ¡Cosa singular! No hablamos nada
0,en el patio de la ,casa,"; levantámonos, y saliendo yo al"
0,oprimida por el corbatín. --En ,casa, no ha habido nunca trampas
0,cosas que ha entrado en ,casa,". Ello, como se puede... Vea"
0,Lo que es en nuestra ,casa,", Sr. D. Celestino, no falta"
0,"junio, andan los pavos por ",casa, como si esta fuese la
0,"Rioseco, que suele ir a ",casa," a pedirnos dinero prestado, se"
0,cuando sepan que guardamos en ,casa," tal primor. --Pelambrones, hija, pelambrones"
0,A fe mía que nuestra ,casa," no es ningún guiñapo, y"
0,la niñita en su gran ,casa,"! D. Celestino, viendo que su"
0,cuanto la pille en su ,casa,". --Sosiégate, muchacho, y óyeme. Puede"
0,al fin?... porque Inés en ,casa, de esa gente puede estar
0,su equipaje. No tardó la ,casa, del cura en verse honrada
0,a la puerta de la ,casa,. Inés entró en él muy
0,estoy cansado de ver la ,casa, en que nació este faro
0,Celestino cuando entrábamos en la ,casa,"--, cierto es que hay demasiada"
0,tanta gente. Entramos en la ,casa,", subimos al cuarto de D"
0,"mi curiosidad, salí de la ",casa, y recorrí las calles del
0,Ya me retiraba a la ,casa," del cura, cercana la noche"
0,cuartos. Yo te llevaré a ,casa," del señor Pedro Collado, criado"
0,lo arreglaremos. Cuando fui a ,casa, encontré a D. Celestino loco
0,los cristales de una gran ,casa,. Era la del Príncipe de
0,"honor, salía en coche de ",casa, del Generalísimo. Aseguran algunos que
0,"gentilhombres, altos funcionarios de la ",casa," del Rey, y algunos Ministros"
0,Cuando la puerta de la ,casa," se abrió, precipitose la turba"
0,"no era posible, porque la ",casa, estaba ya atestada de gente
0,"la fiera, salían de la ",casa, a mezclarse con el concierto
0,"de palabra, sacáronla de la ",casa,", y puesta en una berlina"
